Rank,Year,Title,Link
1,1930,Body and Soul,/wiki/Body_and_Soul_(song)
2,1939,All the Things You Are,/wiki/All_the_Things_You_Are
3,1935,Summertime,/wiki/Summertime_(song)
4,1944,'Round Midnight,/wiki/%27Round_Midnight_(song)
5,1935,I Can't Get Started (with You),
6,1937,My Funny Valentine,/wiki/My_Funny_Valentine
7,1942,"Lover Man (Oh, Where Can You Be?) ",
8,1930,What Is This Thing Called Love?,/wiki/What_Is_This_Thing_Called_Love%3F
9,1933,Yesterdays,/wiki/Yesterdays_(1933_song)
10,1946,Stella By Starlight,
11,1947,Autumn Leaves (Les Feuilles Mortes),
12,1929,Star Dust,
13,1932,Willow Weep for Me,/wiki/Willow_Weep_for_Me
14,1939,What's New?,/wiki/What%27s_New%3F
15,1929,Honeysuckle Rose,/wiki/Honeysuckle_Rose_(song)
16,1925,Sweet Georgia Brown,/wiki/Sweet_Georgia_Brown
17,1936,Caravan,/wiki/Caravan_(1937_song)
18,1924,The Man I Love,/wiki/The_Man_I_Love_(song)
19,1935,In a Sentimental Mood,/wiki/In_a_Sentimental_Mood
20,1914,St Louis Blues,
21,1940,How High the Moon,/wiki/How_High_the_Moon
22,1924,"Oh, Lady Be Good! ",
23,1941,"Take the ""A"" Train ",
24,1930,Embraceable You,/wiki/Embraceable_You
25,1947,On Green Dolphin Street,/wiki/On_Green_Dolphin_Street_(song)
26,1946,Tenderly,/wiki/Tenderly
27,1936,The Way You Look Tonight,/wiki/The_Way_You_Look_Tonight
28,1936,These Foolish Things,
29,1941,I'll Remember April,/wiki/I%27ll_Remember_April_(song)
30,1930,Love for Sale,/wiki/Love_for_Sale_(song)
31,1933,Sophisticated Lady,/wiki/Sophisticated_Lady
32,1929,Ain't Misbehavin',/wiki/Ain%27t_Misbehavin%27_(song)
33,1932,Night and Day,/wiki/Night_and_Day_(song)
34,1918,After You've Gone,/wiki/After_You%27ve_Gone_(song)
35,1945,Laura,/wiki/Laura_(1945_song)
36,1949,Lush Life,/wiki/Lush_Life_(song)
37,1928,Sweet Lorraine,/wiki/Sweet_Lorraine
38,1932,Don't Blame Me,/wiki/Don%27t_Blame_Me_(song)
39,1938,Cherokee (Indian Love Song),
40,1942,Night in Tunisia,
41,1917,Indiana (Back Home Again in Indiana),
42,1938,You Go to My Head,/wiki/You_Go_to_My_Head
43,1942,There Will Never Be Another You,/wiki/There_Will_Never_Be_Another_You
44,1930,Georgia on My Mind,/wiki/Georgia_on_My_Mind
45,1953,Satin Doll,/wiki/Satin_Doll
46,1938,Prelude to a Kiss,/wiki/Prelude_to_a_Kiss_(song)
47,1944,I Should Care,/wiki/I_Should_Care
48,1936,Stompin' At the Savoy,
49,1932,How Deep Is the Ocean?,/wiki/How_Deep_Is_the_Ocean%3F
50,1933,I Cover the Waterfront,/wiki/I_Cover_the_Waterfront_(song)
51,1946,Come Rain or Come Shine,/wiki/Come_Rain_or_Come_Shine
52,1936,There Is No Greater Love,/wiki/There_Is_No_Greater_Love
53,1941,You Don't Know What Love Is,/wiki/You_Don%27t_Know_What_Love_Is
54,1930,But Not for Me,/wiki/But_Not_for_Me_(song)
55,1930,On the Sunny Side of the Street,/wiki/On_the_Sunny_Side_of_the_Street
56,1954,Misty,/wiki/Misty_(song)
57,1938,Love Is Here to Stay,/wiki/Love_Is_Here_to_Stay
58,1942,Perdido,/wiki/Perdido_(song)
59,1924,Tea for Two,/wiki/Tea_for_Two_(song)
60,1944,It Could Happen to You,
61,1941,I Got It Bad (and That Ain't Good),/wiki/I_Got_It_Bad_(and_That_Ain%27t_Good)
62,1941,Skylark,/wiki/Skylark_(song)
63,1938,Over the Rainbow,/wiki/Over_the_Rainbow
64,1937,The Nearness of You,/wiki/The_Nearness_of_You
65,1928,If I Had You,/wiki/If_I_Had_You_(1928_song)
66,1932,(I Don't Stand A) Ghost of a Chance,
67,1946,Angel Eyes,/wiki/Angel_Eyes_(1946_song)
68,1931,Out of Nowhere,/wiki/Out_of_Nowhere_(Johnny_Green_song)
69,1928,Lover Come Back to Me,
70,1939,Darn That Dream,/wiki/Darn_That_Dream
71,1931,All of Me,/wiki/All_of_Me_(Ruth_Etting_song)
72,1929,More Than You Know,/wiki/More_Than_You_Know_(1929_song)
73,1930,I Got Rhythm,/wiki/I_Got_Rhythm
74,1935,Just One of Those Things,/wiki/Just_One_of_Those_Things_(song)
